NodeA,NodeB,Weights
48,448,1.0
48,446,1.0
48,187,1.0
48,768,1.0
48,554,1.0
48,12410,1.0
48,648,1.0
48,861,1.0
48,9886,1.0
49,785,1.0
49,614,1.0
49,35,1.0
49,12567,1.0
49,816,1.0
49,12526,1.0
49,877,1.0
49,856,1.0
49,10595,1.0
49,118,1.0
50,303,1.0
50,41,1.0
50,848,1.0
50,3721,1.0
50,849,1.0
50,468,1.0
50,473,1.0
50,132,0.0
50,5556,0.0
50,9625,0.0
51,161,1.0
51,543,1.0
51,10107,1.0
51,5950,1.0
51,4269,1.0
51,4266,1.0
51,5119,1.0
51,178,1.0
51,4665,0.0
51,4723,0.0
52,114,1.0
52,661,1.0
52,10899,1.0
52,13124,1.0
52,11291,1.0
52,649,1.0
52,11586,1.0
52,1022,1.0
52,12165,1.0
52,777,1.0
53,346,1.0
53,2050,1.0
53,4682,1.0
53,7094,1.0
53,6160,1.0
53,3245,1.0
53,8734,1.0
53,7271,1.0
53,2773,0.0
53,6306,0.0
54,12165,1.0
54,10499,1.0
54,9405,1.0
54,5344,1.0
54,5287,1.0
54,804,1.0
54,11747,1.0
54,12204,1.0
54,4028,1.0
54,9189,1.0
55,624,1.0
55,749,1.0
55,186,1.0
55,708,1.0
55,295,1.0
55,9491,1.0
55,784,1.0
55,351,1.0
55,139,1.0
55,336,0.0
56,688,1.0
56,9627,1.0
56,411,1.0
56,17,1.0
56,934,1.0
56,240,1.0
56,756,1.0
56,249,1.0
56,465,1.0
56,966,0.0
57,146,1.0
57,7,1.0
57,578,1.0
57,601,1.0
57,551,1.0
57,986,1.0
57,10079,1.0
57,682,1.0
57,258,0.0
57,169,0.0
58,10394,1.0
58,246,1.0
58,127,1.0
58,182,1.0
58,12086,1.0
58,1030,1.0
58,509,1.0
58,270,1.0
58,822,1.0
58,10183,0.0
59,3023,1.0
59,1531,1.0
59,9543,1.0
59,9622,1.0
59,622,1.0
59,9316,1.0
59,305,1.0
59,9733,1.0
59,9065,1.0
59,9370,0.0
60,493,1.0
60,1007,1.0
60,102,1.0
60,511,1.0
60,4054,1.0
60,9718,1.0
60,638,1.0
60,9746,1.0
60,10822,0.0
60,11956,0.0
61,12259,1.0
61,9687,1.0
61,9916,1.0
61,9277,1.0
61,12765,1.0
61,9117,1.0
61,9833,1.0
61,10358,1.0
61,11584,1.0
61,11746,0.0
62,440,1.0
62,465,1.0
62,283,1.0
62,806,1.0
62,10981,1.0
62,240,1.0
62,688,1.0
62,667,1.0
62,204,0.0
62,966,0.0
63,9,1.0
63,103,1.0
63,283,1.0
63,1021,1.0
63,850,1.0
63,10135,1.0
63,365,1.0
63,782,1.0
63,966,1.0
63,607,0.0
64,870,1.0
64,78,1.0
64,761,1.0
64,300,1.0
64,857,1.0
64,911,1.0
64,768,1.0
64,184,1.0
64,849,1.0
64,473,1.0
65,8705,1.0
65,3806,1.0
65,4827,1.0
65,6982,1.0
65,274,1.0
65,13178,1.0
65,3275,1.0
65,9457,1.0
65,5270,1.0
65,5730,1.0
66,722,1.0
66,93,1.0
66,630,1.0
66,585,1.0
66,596,1.0
66,317,1.0
66,830,1.0
66,449,1.0
66,406,0.0
66,767,0.0
67,2372,1.0
67,945,1.0
67,7747,1.0
67,425,1.0
67,9525,1.0
67,3827,1.0
67,5665,1.0
67,486,1.0
67,212,0.0
67,9985,0.0
68,902,1.0
68,1004,1.0
68,679,1.0
68,201,1.0
68,988,1.0
68,999,1.0
68,4975,1.0
68,546,1.0
68,9283,1.0
68,743,0.0
69,969,1.0
69,154,1.0
69,804,1.0
69,748,1.0
69,994,1.0
69,260,1.0
69,12536,1.0
69,11265,0.0
69,10825,0.0
69,12785,0.0
70,626,1.0
70,344,1.0
70,926,1.0
70,296,1.0
70,940,1.0
70,484,1.0
70,479,1.0
70,635,1.0
70,9844,0.0
70,1037,0.0
71,1013,1.0
71,583,1.0
71,9517,1.0
71,442,1.0
71,1039,1.0
71,43,1.0
71,424,1.0
71,974,0.0
71,807,0.0
71,912,0.0
72,11822,1.0
72,13196,1.0
72,200,1.0
72,12083,1.0
72,836,1.0
72,127,1.0
72,12154,1.0
72,11322,1.0
72,11668,0.0
72,10338,0.0
73,460,1.0
73,11745,1.0
73,558,1.0
73,106,1.0
73,259,1.0
73,728,1.0
73,134,1.0
73,623,1.0
